Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SalePrice,House_Age,Years_Since_Modified,Garage_Age,TotalBaths,LivingArea,PorchDeckSF
1,60,RL,65.0,8450,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4,3,1,6,706,1,0,150,856,GasA,5,1,SBrkr,856,854,0,1710,1,0,2,1,3,1,4,5,0,0,Attchd,2,548,3,3,Y,0,61,0,0,0,0,0,NoFence,None,0,208500,5,5,5.0,2.5,2566,61
2,20,RL,80.0,9600,Pave,NoAlley,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,4,5,978,1,0,284,1262,GasA,5,1,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,5,1,3,Attchd,2,460,3,3,Y,298,0,0,0,0,0,0,NoFence,None,0,181500,31,31,31.0,2.0,2524,298
3,60,RL,68.0,11250,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4,3,2,6,486,1,0,434,920,GasA,5,1,SBrkr,920,866,0,1786,1,0,2,1,3,1,4,5,1,3,Attchd,2,608,3,3,Y,0,42,0,0,0,0,0,NoFence,None,0,223500,7,6,7.0,2.5,2706,42
4,70,RL,60.0,9550,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3,4,1,5,216,1,0,540,756,GasA,4,1,SBrkr,961,756,0,1717,1,0,1,0,3,1,4,5,1,4,Detchd,1,642,3,3,Y,0,35,272,0,0,0,0,NoFence,None,0,140000,91,36,8.0,1.0,2473,307
5,60,RL,84.0,14260,Pave,NoAlley,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4,3,3,6,655,1,0,490,1145,GasA,5,1,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,4,5,1,3,Attchd,2,836,3,3,Y,192,84,0,0,0,0,0,NoFence,None,0,250000,8,8,8.0,2.5,3343,276
6,50,RL,85.0,14115,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4,3,1,6,732,1,0,64,796,GasA,5,1,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,0,0,Attchd,1,480,3,3,Y,40,30,0,320,0,0,0,MnPrv,Shed,700,143000,16,14,16.0,1.5,2158,390
7,20,RL,75.0,10084,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5,3,3,6,1369,1,0,317,1686,GasA,5,1,SBrkr,1694,0,0,1694,1,0,2,0,3,1,4,5,1,4,Attchd,2,636,3,3,Y,255,57,0,0,0,0,0,NoFence,None,0,307000,3,2,3.0,2.0,3380,312
8,60,RL,70.61184543198924,10382,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,2,5,859,4,32,216,1107,GasA,5,1,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,5,2,3,Attchd,2,484,3,3,Y,235,204,228,0,0,0,0,NoFence,Shed,350,200000,36,36,36.0,2.5,3197,667
9,50,RM,51.0,6120,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,952,952,GasA,4,1,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,4,2,3,Detchd,1,468,2,3,Y,90,0,205,0,0,0,0,NoFence,None,0,129900,77,58,77.0,2.0,2726,295
10,190,RL,50.0,7420,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,6,851,1,0,140,991,GasA,5,1,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,2,3,Attchd,2,205,4,3,Y,0,4,0,0,0,0,0,NoFence,None,0,118000,69,58,69.0,1.0,2068,4
